DISM /online /Set-Edition:ServerStandard /ProductKey:TVRH6-WHNXV-R9WG3-9XRFY-MY832  /AcceptEula
cscript.exe c:\windows\system32\slmgr.vbs -skms microsoft.hospedagemdesite.goiania.br
cscript.exe c:\windows\system32\slmgr.vbs -ato



https://www.mmhospedagem.com.br/knowledgebase/319/Converter-Windows-Server-Evaluation-em-FULL-e-ativar-o-Windows.html?language=croatian

Sistema Operativo	Chave KMS
Windows Server 2008 Standard	TM24T-X9RMF-VWXK6-X8JC9-BFGM2
Windows Server 2008 Entreprise	YQGMW-MPWTJ-34KDK-48M3W-X4Q6V
Windows Server 2008 Datacenter	7M67G-PC374-GR742-YH8V4-TCBY3
Windows Server 2008 R2 Standard 9600	YC6KT-GKW9T-YTKYR-T4X34-R7VHC
Windows Server 2008 R2 Enterprise 7600	489J6-VHDMP-X63PK-3K798-CPX3Y
Windows Server 2008 R2 Datacenter 7600	74YFP-3QFB3-KQT8W-PMXWJ-7M648
Windows Server 2012 Standard	XC9B7-NBPP2-83J2H-RHMBY-92BT4
Windows Server 2012 Datacenter	48HP8-DN98B-MYWDG-T2DCC-8W83P
Windows Server 2012 R2 Standard 9600	D2N9P-3P6X9-2R39C-7RTCD-MDVJX
Windows Server 2012 R2 Datacenter 7600	W3GGN-FT8W3-Y4M27-J84CP-Q3VJ9
Windows 8.1 Pro 9600	GCRJD-8NW9H-F2CDX-CCM8D-9D6T9
Windows Server 2016 Datacenter	CB7KF-BWN84-R7R2Y-793K2-8XDDG
Windows Server 2016 Standard	WC2BQ-8NRM3-FDDYY-2BFGV-KHKQY
Windows Server 2016 Essentials	JCKRF-N37P4-C2D82-9YXRT-4M63B
Windows Server 2019 Standard	N69G4-B89J2-4G8F4-WWYCC-J464C
Windows Server 2019 Datacenter	WMDGN-G9PQG-XVVXX-R3X43-63DFG
Windows Server 2022 Standard	VDYBN-27WPP-V4HQT-9VMD4-VMK7H
Windows Server 2022 Datacenter	WX4NM-KYWYW-QJJR4-XV3QB-6VM33
Windows Server 2025 Standard	TVRH6-WHNXV-R9WG3-9XRFY-MY832
Windows Server 2025 Datacenter	D764K-2NDRG-47T6Q-P8T8W-YP6DF
Windows Server 2025 Datacenter: Edição Azure	XGN3F-F394H-FD2MY-PP6FD-8MCRC
